Country,City,Neighbourhood,Dominant Segments,Notable Communities,Spending Profile,Age Life Stage Skew,Student University Proximity,Day Night Pattern,Dietary Considerations,Product Recommendations,Summary,Confidence
CYP,Ypsonas,Ypsonas,West-Limassol families; industrial-area workers,Greek Cypriot majority,Mid-range to budget,30s-50s family-heavy,None nearby,Residential evenings; industrial weekday peaks,Orthodox fasting in season,Value dairy; Polemidia-style produce; souvla meat; KEAN; pantry staples,Ypsonas is in range of Limassol West (Dilou). Treat as a residential/west family catchment. Do not copy Central craft coffee or wine depth.,Medium
CYP,Strovolos,Strovolos,Dense suburban Nicosia families,Greek Cypriot majority,Mid-range,30s-50s families; school-age children,None nearby,School-run peaks; evening family cooking,Orthodox fasting in season,Volume halloumi and yoghurt; weeknight veg; family meat; daily bread; KEAN juices,Strovolos is the large suburb behind Parissinos (Archangelou Ave). In range of that store. Volume family grocery. Leave Pivo and Utu to Nicosia Central.,Medium-High
CYP,Engomi,Engomi,West-Nicosia residents; some professionals,Greek Cypriot majority; smaller expat mix than Limassol,Mixed to mid-range,30s-50s,University of Nicosia / UNIC nearby; some student demand,Residential evenings; campus-adjacent daytime,Orthodox fasting in season; some vegetarian student demand,Everyday dairy; international student pantry; family meat; bread; KEAN,Engomi is in range of Nicosia Central and Parissinos. A west-capital residential catchment with a student edge from UNIC. Not a separate store.,Medium
CYP,Lakatamia,Lakatamia,Southwest Nicosia families,Greek Cypriot majority,Mid-range,30s-50s family-heavy,None nearby,Residential evenings; weekend family peaks,Orthodox fasting in season,Village-style halloumi; family meat; produce; trahana; daily bread,Lakatamia is in range of Parissinos / Nicosia Central. Family catchment southwest of the capital. Do not range as a tourist or office store.,Medium
CYP,Aglantzia,Aglantzia,East-Nicosia families; some university-adjacent residents,Greek Cypriot majority,Mid-range,30s-50s; some students,University of Cyprus campus is closer than Central; student presence is real but not the only driver,Residential evenings; campus daytime nearby,Orthodox fasting in season,Family dairy; produce; student convenience; bread; not a full Nicosia Central specialty set,"Aglantzia is in range of Nicosia Central. East-capital residential with a University of Cyprus tilt. Keep specialty coffee and Pivo on the Digeni Akrita store, not as the lead here.",Medium
CYP,Aradippou,Aradippou,Larnaca-district families; inland town,Greek Cypriot majority; fewer tourists than Larnaca town,Mid-range,30s-50s family-heavy,None nearby,Residential; weekend family peaks,Orthodox fasting in season,Family dairy; inland produce; souvla meat; KEAN; not a full seafood-tourist set,Aradippou is in range of Larnaca Central. Inland family town. Seafood depth stays on the Thessalonikis Ave store; this catchment wants family staples.,Medium
CYP,Livadia,Livadia,Coastal Larnaca families; some summer visitors,Greek Cypriot majority,Mixed,30s-50s families; mixed-age summer lift,None nearby,Residential year-round; sharper summer evenings,Orthodox fasting in season,Fish for weeknights; halloumi; citrus; KEAN; BBQ in summer,"Livadia is in range of Larnaca Central, on the coast north of town. A residential/summer-lift catchment, not a second seafood warehouse.",Medium
CYP,Geroskipou,Geroskipou,West-coast residents; day visitors to the PGI sweet shops,Greek Cypriot residents; tourist mix in shop hours,Mixed,Families year-round; mixed-age visitors,None nearby,Daytime visitor peak at sweet shops; residential evenings,None dominant,Loukoumi Geroskipou PGI; village halloumi; west-coast fruit; Aphrodite Delights as grocery not only a tin,Geroskipou is in range of the Paphos (Ellados Ave) store. This is the PGI loukoumi town. Range those sweets as grocery plus residential staples. Not a separate dark store.,High
CYP,Kato Paphos,Kato Paphos,Holiday-home owners; tourists; harbour/hospitality workers,British and Northern European holiday-home community; Greek Cypriot residents; summer visitors,Premium in summer; quieter mid-range off-season,50s-70s long-stay visitors; 20s-40s hospitality; families in summer,None nearby,Quiet winter; high summer harbour and self-catering demand,None dominant; British pantry comforts alongside Cypriot BBQ,Grilling halloumi; Aphrodite Rock beer; Beanhaus beans; wine; salad veg; British pantry; water,"Kato Paphos is in range of Ellados Ave. Holiday-home and harbour demand. Winter ranging should shrink to residents, same as the Paphos store brief.",Medium-High
CYP,Protaras,Protaras,Summer tourists; holiday lets; a small year-round base,Greek Cypriot residents; sharp Northern European visitor mix in summer,Premium in summer; much quieter mid-range off-season,Mixed-age beach visitors in summer; older winter residents few,None nearby,Quiet winter; very high summer day-beach demand,None dominant,Water and ice; BBQ and salad veg; beer; day-boat fish; grill halloumi; beach snacks,"Protaras is in range of the Paralimni / Ammochostos store. Summer-engine coast, similar to Ayia Napa. Winter ranging should shrink hard. Not a separate dark store.",Medium-High
