Country,City,Neighbourhood,Dominant Segments,Notable Communities,Spending Profile,Age Life Stage Skew,Student University Proximity,Day Night Pattern,Dietary Considerations,Product Recommendations,Summary,Confidence
SWE,Malmö,Limhamn,West-Malmö families; coastal residents; Öresund-bridge commuters,Swedish majority; higher-spend coastal mix,Premium,30s-50s families and professionals,None nearby,Residential evenings; weekend coastal shopping,None dominant; seafood is the ranging lead,Öresund fish; salad veg; St. Jakobs-style bread; short Solde set; not a Möllevången street-food wall,"Limhamn is in range of Malmö, not a second warehouse. Coastal family grocery plus fish. Leave Hyllie taproom depth as a short city set.",Medium-High
SWE,Limhamn,Limhamn,West-Malmö families; coastal residents; Öresund-bridge commuters,Swedish majority; higher-spend coastal mix,Premium,30s-50s families and professionals,None nearby,Residential evenings; weekend coastal shopping,None dominant; seafood is the ranging lead,Öresund fish; salad veg; St. Jakobs-style bread; short Solde set; not a Möllevången street-food wall,"Limhamn is in range of Malmö, not a second warehouse. Coastal family grocery plus fish. Leave Hyllie taproom depth as a short city set.",Medium-High
SWE,Örebro,Örebro,Regional-city families; some students; Närke residents,Swedish majority; mixed-income regional city,Mid-range,30s-50s families; some 20s students,Örebro University in the wider city,Residential evenings; weekday commute,None dominant,Örebro Brygghus; market veg; daily bread; family meat; short coffee set,Wolt Market Örebro is family grocery plus local beer. Do not copy Stockholm specialty coffee or Malmö fish as the ranging story.,Medium-High
SWE,Gothenburg,Gothenburg,West-coast families; students; harbour residents; Haga visitors,Swedish majority; large student mix; some international harbour/professional mix,Mixed to premium,20s-30s students and professionals; 30s-50s families,University of Gothenburg / Chalmers — student ranging matters,Student evening demand; Haga café daytime; residential cooking,Vegetarian/vegan strong among students; seafood is a city ranging lead,Da Matteo beans; Stigbergets/Beerbliotek cans; Feskekôrka fish; Haga buns as grocery; market veg,"No live Wolt Market store yet. Gothenburg is a first-store hypothesis: Da Matteo, west-coast fish and Haga fika — not a Stockholm Omnipollo clone. Country-level trends/search stand in until a store opens.",Medium
SWE,Uppsala,Uppsala,Students; university staff; Uppland families,Swedish majority; very large student mix; smaller international academic pocket,Mid-range,20s students; 30s-50s families,Uppsala University — student ranging is the lead,Student evening demand; market daytime; quieter family suburbs,Vegetarian/vegan strong among students,Uppsala Brygghus; market veg; daily bread; student snacks; short roast-at-home set; not Da Matteo as a default wall,No live Wolt Market store yet. Uppsala is a first-store hypothesis: student grocery plus local beer. Slottskällan is no longer brewed in the city. Country-level trends/search stand in until a store opens.,Medium
SWE,Stockholm,Vasastan,Young professionals; cafe culture; inner-north residents,Swedish majority; large international mix,Mixed to premium,20s-40s,None immediate,Cafe daytime; residential evenings,Vegetarian/vegan emerging; oat-drink demand,Pascal beans; weeknight veg; surdeg; not Östermalm fish as the hero,Vasastan is in range of Stockholm City. Pascal's Gävlegatan catchment. Leave Omnipollo to Solna.,High
SWE,Stockholm,Östermalm,Higher-spend east-city residents; hall shoppers,Swedish majority; affluent inner-east mix,Premium,30s-50s professionals and families,None nearby,Hall daytime; residential evenings,None dominant,"Östermalms Saluhall fish, meat and deli; salad veg; short Pascal set",Östermalm is in range of Stockholm City. Own the saluhall story. Not a Söderort family warehouse.,High
SWE,Stockholm,Nacka,East-of-city families; ferry-adjacent suburbs,Swedish majority; mixed-income inner-east suburb,Mixed,30s-50s families,None nearby,Residential evenings; weekday commute,None dominant,Weeknight veg; daily bread; family meat; short Drop Coffee set,Nacka is in range of Söderort and City. Family grocery. Leave Bränneri to Södermalm.,Medium
SWE,Stockholm,Kungsholmen,West-of-centre families; professionals,Swedish majority; mixed inner-west,Mixed to premium,30s-50s mixed,None immediate,Residential evenings; weekday commute,None dominant,Weeknight veg; daily bread; short City coffee set,Kungsholmen is in range of City and Solna. Everyday grocery.,Medium
SWE,Malmö,Möllevången,Inner-Malmö mix; young renters; Möllan market shoppers,Swedish majority; large international mix; strong Middle Eastern communities,Mixed,20s-40s,Malmö University nearby,Market and cafe daytime; late evenings,Halal relevant; vegetarian emerging,Saluhall-quality veg; Hyllie cans; Solde bags; not Limhamn fish as the only story,Möllevången is in range of the Malmö store. Inner-city grocery plus craft beer. Halal depth where the catchment needs it.,High
SWE,Malmö,Västra Hamnen,Western-harbour residents; higher-spend apartments,Swedish majority; professional coastal mix,Premium,30s-50s professionals and families,None nearby,Residential evenings; weekend harbour walks,None dominant; seafood is a ranging lead,Öresund fish; salad veg; short Solde set; St. Jakobs bread,Västra Hamnen is in range of Malmö. Harbour-side premium grocery plus fish.,Medium-High
SWE,Malmö,Lund,University city; students; Skåne families,Swedish majority; large student mix; some Danish-commuter spillover,Mixed,20s students; 30s-50s families,Lund University — student ranging matters,Student evening demand; market daytime,Vegetarian/vegan strong among students,Love Coffee bags; student snacks; weeknight veg; short Hyllie set,"Lund is in range of Malmö, not a second Öresund warehouse. Love Coffee is the local roast. Leave Spirit of Hven as a short city set.",Medium-High
SWE,Gothenburg,Majorna,West-Gothenburg residents; harbour-adjacent families; craft-beer drinkers,Swedish majority; mixed west-city,Mixed,20s-50s mixed,None immediate,Residential evenings; weekend brewery traffic,None dominant,Stigbergets cans; weeknight veg; daily bread; not a Da Matteo-only wall,Majorna is in range of a first Gothenburg store. Stigbergets is the ranging lead. No live WM store yet.,Medium
SWE,Gothenburg,Haga,Inner-city residents; Haga visitors; fika traffic,Swedish majority; tourist mix on the cinnamon-bun strip,Mixed,20s-40s mixed,None immediate,Cafe daytime; residential evenings,None dominant,Haga buns as grocery; Saluhallen veg; short Da Matteo set,Haga is in range of a first Gothenburg store. Own the hagabulle SKU. Not a Stockholm coffee clone.,Medium
SWE,Stockholm,Hammarby,South-east families; Hammarby Sjöstad apartments,Swedish majority; mixed inner-south-east; some international mix,Mixed to premium,30s-50s families and professionals,None nearby,Residential evenings; weekday commute,Vegetarian emerging,Weeknight veg; daily bread; short Drop Coffee set; family meat,Hammarby is in range of Söderort. Family-plus-apartment grocery. Leave Bränneri to Södermalm.,Medium
SWE,Gothenburg,Linné,Linnéstaden residents; students; west-of-Haga apartments,Swedish majority; large student mix,Mixed,20s-40s,University of Gothenburg nearby,Cafe daytime; student evenings,Vegetarian/vegan strong among students,Da Matteo as a short set; student snacks; weeknight veg; Haga buns,Linné is in range of a first Gothenburg store. Student grocery. Stigbergets stays Majorna.,Medium
SWE,Vasastan,Vasastan,Young professionals; cafe culture; inner-north residents,Swedish majority; large international mix,Mixed to premium,20s-40s,None immediate,Cafe daytime; residential evenings,Vegetarian/vegan emerging; oat-drink demand,Pascal beans; weeknight veg; surdeg; not Östermalm fish as the hero,Vasastan is in range of Stockholm City. Pascal's Gävlegatan catchment. Leave Omnipollo to Solna.,High
SWE,Östermalm,Östermalm,Higher-spend east-city residents; hall shoppers,Swedish majority; affluent inner-east mix,Premium,30s-50s professionals and families,None nearby,Hall daytime; residential evenings,None dominant,"Östermalms Saluhall fish, meat and deli; salad veg; short Pascal set",Östermalm is in range of Stockholm City. Own the saluhall story. Not a Söderort family warehouse.,High
SWE,Nacka,Nacka,East-of-city families; ferry-adjacent suburbs,Swedish majority; mixed-income inner-east suburb,Mixed,30s-50s families,None nearby,Residential evenings; weekday commute,None dominant,Weeknight veg; daily bread; family meat; short Drop Coffee set,Nacka is in range of Söderort and City. Family grocery. Leave Bränneri to Södermalm.,Medium
SWE,Kungsholmen,Kungsholmen,West-of-centre families; professionals,Swedish majority; mixed inner-west,Mixed to premium,30s-50s mixed,None immediate,Residential evenings; weekday commute,None dominant,Weeknight veg; daily bread; short City coffee set,Kungsholmen is in range of City and Solna. Everyday grocery.,Medium
SWE,Möllevången,Möllevången,Inner-Malmö mix; young renters; Möllan market shoppers,Swedish majority; large international mix; strong Middle Eastern communities,Mixed,20s-40s,Malmö University nearby,Market and cafe daytime; late evenings,Halal relevant; vegetarian emerging,Saluhall-quality veg; Hyllie cans; Solde bags; not Limhamn fish as the only story,Möllevången is in range of the Malmö store. Inner-city grocery plus craft beer. Halal depth where the catchment needs it.,High
SWE,Västra Hamnen,Västra Hamnen,Western-harbour residents; higher-spend apartments,Swedish majority; professional coastal mix,Premium,30s-50s professionals and families,None nearby,Residential evenings; weekend harbour walks,None dominant; seafood is a ranging lead,Öresund fish; salad veg; short Solde set; St. Jakobs bread,Västra Hamnen is in range of Malmö. Harbour-side premium grocery plus fish.,Medium-High
SWE,Lund,Lund,University city; students; Skåne families,Swedish majority; large student mix; some Danish-commuter spillover,Mixed,20s students; 30s-50s families,Lund University — student ranging matters,Student evening demand; market daytime,Vegetarian/vegan strong among students,Love Coffee bags; student snacks; weeknight veg; short Hyllie set,"Lund is in range of Malmö, not a second Öresund warehouse. Love Coffee is the local roast. Leave Spirit of Hven as a short city set.",Medium-High
SWE,Majorna,Majorna,West-Gothenburg residents; harbour-adjacent families; craft-beer drinkers,Swedish majority; mixed west-city,Mixed,20s-50s mixed,None immediate,Residential evenings; weekend brewery traffic,None dominant,Stigbergets cans; weeknight veg; daily bread; not a Da Matteo-only wall,Majorna is in range of a first Gothenburg store. Stigbergets is the ranging lead. No live WM store yet.,Medium
SWE,Haga,Haga,Inner-city residents; Haga visitors; fika traffic,Swedish majority; tourist mix on the cinnamon-bun strip,Mixed,20s-40s mixed,None immediate,Cafe daytime; residential evenings,None dominant,Haga buns as grocery; Saluhallen veg; short Da Matteo set,Haga is in range of a first Gothenburg store. Own the hagabulle SKU. Not a Stockholm coffee clone.,Medium
SWE,Hammarby,Hammarby,South-east families; Hammarby Sjöstad apartments,Swedish majority; mixed inner-south-east; some international mix,Mixed to premium,30s-50s families and professionals,None nearby,Residential evenings; weekday commute,Vegetarian emerging,Weeknight veg; daily bread; short Drop Coffee set; family meat,Hammarby is in range of Söderort. Family-plus-apartment grocery. Leave Bränneri to Södermalm.,Medium
SWE,Linné,Linné,Linnéstaden residents; students; west-of-Haga apartments,Swedish majority; large student mix,Mixed,20s-40s,University of Gothenburg nearby,Cafe daytime; student evenings,Vegetarian/vegan strong among students,Da Matteo as a short set; student snacks; weeknight veg; Haga buns,Linné is in range of a first Gothenburg store. Student grocery. Stigbergets stays Majorna.,Medium
